Milestone ID;Shipment ID;Milestone Sequence;Milestone Type;Planned Datetime;Actual Datetime;Milestone Status;Updated By;Update Notes;Update Timestamp
MS002808;SHP0281;8;Port Arrival;02/06/24;04/06/24 00.00;delayed;Andi Pratama;Shipment closed successfully;04/06/24 00.00
MS002809;SHP0281;9;Customs Clearance;06/06/24;06/06/24 12.00;Completed;Indah Permata;Carrier confirmed vessel arrival;06/06/24 12.00
MS002810;SHP0281;10;Delivered;09/06/24;09/06/24 12.00;Completed;Indah Permata;Final milestone completed;11/06/24 12.00
MS002811;SHP0282;1;Cargo Ready;26/01/24;26/01/24 02.00;Delayed;Budi Santoso;Export filing accepted;28/01/24 02.00
MS002812;SHP0282;2;Booking Confirmed;30/01/24;30/01/24 04.00;Completed;Andi Pratama;;01/02/24 04.00
MS002813;SHP0282;3;Empty Container Pickup;02/02/24;02/02/24 00.00;Completed;Indah Permata;Carrier schedule update received;02/02/24 00.00
MS002814;SHP0282;4;Cargo Loading;05/02/24;05/02/24 12.00;Delayed;Cindy Wijaya;Cargo loading completed;07/02/24 12.00
MS002815;SHP0282;5;Gate In;06/02/24;06/02/24 12.00;Completed;Kevin Halim;Cargo ready for pickup;08/02/24 12.00
MS002816;SHP0282;6;Documentation Complete;08/02/24;08/02/24 08.00;Completed;Indah Permata;Delivery completed;11/02/24 08.00
MS002817;SHP0282;7;Vessel Departure;12/02/24;12/02/24 02.00;Completed;Michael Gunawan;Container stuffing completed;23/02/24 02.00
MS002818;SHP0282;8;Port Arrival;16/02/24;16/02/24 02.00;Completed;Fajar Nugroho;Shipment arrived as planned;17/02/24 02.00
MS002819;SHP0282;9;Customs Clearance;20/02/24;20/02/24 12.00;Delayed;Maya Putri;Loading operation finalized;20/02/24 12.00
MS002820;SHP0282;10;Delivered;21/02/24;21/02/24 12.00;Delayed;Budi Santoso;Container dispatched to customer site;23/02/24 12.00
MS002821;SHP0283;1;Cargo Ready;29/04/24;29/04/24 12.00;Completed;Sarah Amelia;Terminal received container;02/05/24 12.00
MS002822;SHP0283;2;Booking Confirmed;02/05/24;02/05/24 08.00;Completed;Michael Gunawan;Shipment tracking updated;05/05/24 08.00
MS002823;SHP0283;3;Empty Container Pickup;04/05/24;04/05/24 12.00;Delayed;Fajar Nugroho;Clearance approval received;
MS002824;SHP0283;4;Cargo Loading;06/05/24;06/05/24 12.00;Completed;Michael Gunawan;Shipment closed successfully;07/05/24 12.00
MS002825;SHP0283;5;Gate In;07/05/24;07/05/24 12.00;Delayed;Andi Pratama;Shipment status updated to in transit;07/05/24 12.00
MS002826;SHP0283;6;Documentation Complete;11/05/24;11/05/24 12.00;Delayed;Rafi Kurnia;Cargo loaded successfully;12/05/24 12.00
MS002827;SHP0283;7;Vessel Departure;15/05/24;15/05/24 00.00;DELAYED;Daniel Hartono;Customs review finalized;18/05/24 00.00
MS002828;SHP0283;8;Port Arrival;16/05/24;16/05/24 02.00;Completed;Andi Pratama;Customs declaration completed;27/05/24 02.00
MS002829;SHP0283;9;Customs Clearance;20/05/24;20/05/24 12.00;Completed;Kevin Halim;Port entry confirmed;23/05/24 12.00
MS002830;SHP0283;10;Delivered;23/05/24;24/05/24 00.00;Delayed;Indah Permata;AFR submitted successfully;27/05/24 00.00
MS002831;SHP0284;1;Cargo Ready;03/04/24;03/04/24 12.00;Completed;Budi Santoso;Vessel allocation confirmed;03/04/24 12.00
MS002832;SHP0284;2;Booking Confirmed;05/04/24;05/04/24 00.00;Completed;Budi Santoso;Shipment delivered successfully;07/04/24 00.00
MS002833;SHP0284;3;Empty Container Pickup;08/04/24;08/04/24 00.00;Completed;Budi Santoso;Booking reference received;09/04/24 00.00
MS002834;SHP0284;4;Cargo Loading;10/04/24;10/04/24 12.00;Delayed;Budi Santoso;Operational note variation 80;13/04/24 12.00
MS002835;SHP0284;5;Gate In;14/04/24;14/04/24 12.00;Delayed;Sarah Amelia;Sailing schedule confirmed;17/04/24 12.00
MS002836;SHP0284;6;Documentation Complete;18/04/24;18/04/24 04.00;Delayed;Kevin Halim;Departure confirmation received;18/04/24 04.00
MS002837;SHP0284;7;Vessel Departure;21/04/24;21/04/24 12.00;Completed;Fajar Nugroho;Clearance approval received;21/04/24 12.00
MS002838;SHP0284;8;Port Arrival;22/04/24;22/04/24 12.00;Completed;Rafi Kurnia;Release documentation approved;24/04/24 12.00
MS002839;SHP0284;9;Customs Clearance;25/04/24;27/04/24 00.00;Delayed;Jessica Putri;Container stuffing completed;29/04/24 00.00
MS002840;SHP0284;10;Delivered;28/04/24;28/04/24 12.00;COMPLETED;Andi Pratama;Shipment released by customs;28/04/24 12.00
MS002841;SHP0285;1;Cargo Ready;30/04/24;30/04/24 08.00;Delayed;Budi Santoso;ETD achieved successfully;02/05/24 08.00
MS002842;SHP0285;2;Booking Confirmed;01/05/24;01/05/24 02.00;Completed;Cindy Wijaya;Loading preparation finalized;
MS002843;SHP0285;3;Empty Container Pickup;02/05/24;02/05/24 04.00;Completed;Rafi Kurnia;;04/05/24 04.00
MS002844;SHP0285;4;Cargo Loading;05/05/24;05/05/24 00.00;Completed;Rizky Kurniawan;Commercial invoice verified;14/05/24 00.00
MS002845;SHP0285;5;Gate In;06/05/24;06/05/24 12.00;Delayed;Fajar Nugroho;Shipment tracking updated;07/05/24 12.00
MS002846;SHP0285;6;Documentation Complete;09/05/24;11/05/24 00.00;Delayed;Andi Pratama;ETA achieved successfully;19/05/24 00.00
MS002847;SHP0285;7;Vessel Departure;12/05/24;12/05/24 12.00;Completed;Michael Gunawan;Pickup completed successfully;24/05/24 12.00
MS002848;SHP0285;8;Port Arrival;14/05/24;14/05/24 02.00;Completed;Kevin Halim;Terminal received container;23/05/24 02.00
MS002849;SHP0285;9;Customs Clearance;17/05/24;01/06/24 00.00;Delayed;Andi Pratama;Cargo cleared for release;18/05/24 12.00
MS002850;SHP0285;10;Delivered;18/05/24;18/05/24 00.00;Completed;Maya Putri;Carrier allocated vessel space;18/05/24 00.00
MS002851;SHP0286;1;Cargo Ready;02/05/24;04/05/24 00.00;delayed;;Container stuffing completed;04/05/24 00.00
MS002852;SHP0286;2;Booking Confirmed;06/05/24;06/05/24 12.00;Completed;Budi Santoso;Operational update recorded;09/05/24 12.00
MS002853;SHP0286;3;Empty Container Pickup;07/05/24;07/05/24 04.00;Delayed;Maya Putri;ETA achieved successfully;07/05/24 04.00
MS002854;SHP0286;4;Cargo Loading;11/05/24;11/05/24 12.00;Completed;;Shipment delivered successfully;12/05/24 12.00
MS002855;SHP0286;5;Gate In;13/05/24;18/05/24 00.00;Delayed;Budi Santoso;Operational note variation 79;14/05/24 08.00
MS002856;SHP0286;6;Documentation Complete;16/05/24;16/05/24 00.00;pending;Sarah Amelia;Container available for pickup;19/05/24 00.00
MS002857;SHP0286;7;Vessel Departure;20/05/24;20/05/24 08.00;Delayed;Dimas Saputra;Empty container collected from depot;
MS002858;SHP0286;8;Port Arrival;21/05/24;21/05/24 02.00;Delayed;Kevin Halim;Booking confirmed by carrier;04/06/24 02.00
MS002859;SHP0286;9;Customs Clearance;22/05/24;22/05/24 02.00;Delayed;Maya Putri;Cntr gated in;24/05/24 02.00
MS002860;SHP0286;10;Delivered;25/05/24;25/05/24 12.00;Delayed;Fajar Nugroho;Container dispatched to customer site;28/05/24 12.00
MS002861;SHP0287;1;Cargo Ready;09/05/24;09/05/24 00.00;Completed;Andi Pratama;Docs submitted;11/05/24 00.00
MS002862;SHP0287;2;Booking Confirmed;13/05/24;13/05/24 04.00;Completed;Cindy Wijaya;Release order issued;23/05/24 04.00
MS002863;SHP0287;3;Empty Container Pickup;16/05/24;16/05/24 12.00;Completed;Budi Santoso;Cargo available for dispatch;17/05/24 12.00
MS002864;SHP0287;4;Cargo Loading;18/05/24;18/05/24 00.00;Completed;Dimas Saputra;Berthing completed;18/05/24 00.00
MS002865;SHP0287;5;Gate In;19/05/24;20/05/24 12.00;Delayed;Fajar Nugroho;Departure confirmation received;20/05/24 12.00
MS002866;SHP0287;6;Documentation Complete;20/05/24;21/05/24 00.00;Completed;Budi Santoso;Pickup completed successfully;21/05/24 00.00
MS002867;SHP0287;7;Vessel Departure;22/05/24;24/05/24 00.00;Delayed;Kevin Halim;Container stuffing completed;26/05/24 00.00
MS002868;SHP0287;8;Port Arrival;25/05/24;25/05/24 12.00;Completed;;Cargo handed over to consignee;08/06/24 12.00
MS002869;SHP0287;9;Customs Clearance;29/05/24;29/05/24 12.00;Completed;Indah Permata;;29/05/24 12.00
MS002870;SHP0287;10;Delivered;01/06/24;01/06/24 00.00;Completed;Andi Pratama;Cargo available for dispatch;03/06/24 00.00
MS002871;SHP0288;1;Cargo Ready;27/01/24;27/01/24 04.00;Delayed;Cindy Wijaya;Carrier confirmed vessel departure;29/01/24 04.00
MS002872;SHP0288;2;Booking Confirmed;31/01/24;02/02/24 00.00;Delayed;Cindy Wijaya;Shipment released by customs;05/02/24 00.00
MS002873;SHP0288;3;Empty Container Pickup;03/02/24;03/02/24 00.00;Completed;Jessica Putri;Export filing accepted;05/02/24 00.00
MS002874;SHP0288;4;Cargo Loading;06/02/24;06/02/24 08.00;Delayed;Kevin Halim;AFR submitted successfully;08/02/24 08.00
MS002875;SHP0288;5;Gate In;10/02/24;10/02/24 12.00;Delayed;Andi Pratama;Consignee notified of arrival;11/02/24 12.00
MS002876;SHP0288;6;Documentation Complete;14/02/24;14/02/24 08.00;Completed;Fajar Nugroho;Shipment closed successfully;16/02/24 08.00
MS002877;SHP0288;7;Vessel Departure;16/02/24;16/02/24 12.00;Completed;Indah Permata;Sailing schedule confirmed;18/02/24 12.00
MS002878;SHP0288;8;Port Arrival;19/02/24;21/02/24 00.00;Delayed;Dimas Saputra;Final delivery confirmed;24/02/24 00.00
MS002879;SHP0288;9;Customs Clearance;22/02/24;22/02/24 00.00;Completed;Dimas Saputra;Release documentation approved;24/02/24 00.00
MS002880;SHP0288;10;Delivered;25/02/24;25/02/24 12.00;Delayed;Budi Santoso;Depot release completed;26/02/24 12.00
MS002881;SHP0289;1;Cargo Ready;24/01/24;24/01/24 12.00;Delayed;Andi Pratama;Delivery appointment confirmed;25/01/24 12.00
MS002882;SHP0289;2;Booking Confirmed;27/01/24;27/01/24 12.00;Completed;Indah Permata;Arrival notice received;30/01/24 12.00
MS002883;SHP0289;3;Empty Container Pickup;28/01/24;28/01/24 04.00;Delayed;Daniel Hartono;Gate in completed before cut off;30/01/24 04.00
MS002884;SHP0289;4;Cargo Loading;30/01/24;30/01/24 02.00;PENDING;Dimas Saputra;Container received for loading;02/02/24 02.00
MS002885;SHP0289;5;Gate In;01/02/24;01/02/24 04.00;Completed;Kevin Halim;Proof of delivery received;03/02/24 04.00
MS002886;SHP0289;6;Documentation Complete;04/02/24;04/02/24 04.00;Delayed;Dimas Saputra;AFR submitted successfully;04/02/24 04.00
MS002887;SHP0289;7;Vessel Departure;06/02/24;08/02/24 00.00;Delayed;Dimas Saputra;Proof of delivery received;08/02/24 00.00
MS002888;SHP0289;8;Port Arrival;07/02/24;08/02/24 02.00;Delayed;Dimas Saputra;Berthing completed;08/02/24 02.00
MS002889;SHP0289;9;Customs Clearance;08/02/24;08/02/24 14.00;Completed;Dimas Saputra;Container ready for gate in;15/02/24 14.00
MS002890;SHP0289;10;Delivered;11/02/24;11/02/24 00.00;Completed;Dimas Saputra;Container stuffing completed;14/02/24 00.00
MS002891;SHP0290;1;Cargo Ready;01/03/24;01/03/24 00.00;Completed;Rizky Kurniawan;Packing list confirmed;03/03/24 00.00
MS002892;SHP0290;2;Booking Confirmed;04/03/24;04/03/24 12.00;Completed;Rafi Kurnia;Carrier confirmed vessel departure;05/03/24 12.00
MS002893;SHP0290;3;Empty Container Pickup;06/03/24;06/03/24 04.00;Delayed;Budi Santoso;Customs declaration completed;06/03/24 04.00
MS002894;SHP0290;4;Cargo Loading;07/03/24;07/03/24 12.00;Delayed;Budi Santoso;Customer confirmed cargo readiness;07/03/24 12.00
MS002895;SHP0290;5;Gate In;11/03/24;11/03/24 12.00;Completed;Fajar Nugroho;Terminal received container;13/03/24 12.00
MS002896;SHP0290;6;Documentation Complete;15/03/24;15/03/24 12.00;Delayed;Daniel Hartono;Sailing schedule confirmed;15/03/24 12.00
MS002897;SHP0290;7;Vessel Departure;18/03/24;18/03/24 00.00;Completed;Andi Pratama;Shipment arrived as planned;26/03/24 00.00
MS002898;SHP0290;8;Port Arrival;22/03/24;22/03/24 02.00;Delayed;Fajar Nugroho;Empty container collected from depot;24/03/24 02.00
MS002899;SHP0290;9;Customs Clearance;23/03/24;23/03/24 04.00;Delayed;Indah Permata;Carrier confirmed vessel arrival;24/03/24 04.00
MS002900;SHP0290;10;Delivered;27/03/24;27/03/24 00.00;Completed;Daniel Hartono;Port entry confirmed;27/03/24 00.00
MS002901;SHP0291;1;Cargo Ready;05/02/24;05/02/24 04.00;Delayed;Andi Pratama;ETA achieved successfully;05/02/24 04.00
MS002902;SHP0291;2;Booking Confirmed;06/02/24;06/02/24 12.00;Delayed;Daniel Hartono;Port entry confirmed;07/02/24 12.00
MS002903;SHP0291;3;Empty Container Pickup;10/02/24;10/02/24 12.00;Completed;Michael Gunawan;Carrier confirmed revised ETA;10/02/24 12.00
MS002904;SHP0291;4;Cargo Loading;14/02/24;14/02/24 12.00;Completed;Andi Pratama;Final delivery confirmed;15/02/24 12.00
MS002905;SHP0291;5;Gate In;18/02/24;18/02/24 08.00;Completed;Fajar Nugroho;Container received for loading;27/02/24 08.00
MS002906;SHP0291;6;Documentation Complete;19/02/24;21/02/24 00.00;Delayed;Andi Pratama;Packing list confirmed;24/02/24 00.00
MS002907;SHP0291;7;Vessel Departure;23/02/24;23/02/24 02.00;Completed;Kevin Halim;Release order issued;23/02/24 02.00
MS002908;SHP0291;8;Port Arrival;27/02/24;27/02/24 12.00;Delayed;Budi Santoso;Container ready for gate in;28/02/24 12.00
MS002909;SHP0291;9;Customs Clearance;28/02/24;01/03/24 00.00;Delayed;Budi Santoso;Container gated in successfully;03/03/24 00.00
MS002910;SHP0291;10;Delivered;02/03/24;02/03/24 08.00;Completed;Andi Pratama;;02/03/24 08.00
MS002911;SHP0292;1;Cargo Ready;28/01/24;28/01/24 02.00;Completed;Fajar Nugroho;Arrival notice received;30/01/24 02.00
MS002912;SHP0292;2;Booking Confirmed;31/01/24;31/01/24 02.00;Delayed;Dimas Saputra;Arrival notice received;01/02/24 02.00
MS002913;SHP0292;3;Empty Container Pickup;01/02/24;01/02/24 02.00;Delayed;Cindy Wijaya;Shipment delivered successfully;04/02/24 02.00
MS002914;SHP0292;4;Cargo Loading;05/02/24;05/02/24 00.00;Completed;;;05/02/24 00.00
MS002915;SHP0292;5;Gate In;07/02/24;07/02/24 12.00;Completed;Kevin Halim;Container dispatched to customer site;09/02/24 12.00
MS002916;SHP0292;6;Documentation Complete;09/02/24;09/02/24 08.00;Delayed;Cindy Wijaya;Container entered terminal yard;12/02/24 08.00
MS002917;SHP0292;7;Vessel Departure;11/02/24;11/02/24 00.00;pending;Andi Pratama;Port entry confirmed;23/02/24 00.00
MS002918;SHP0292;8;Port Arrival;13/02/24;13/02/24 12.00;Completed;Rizky Kurniawan;Empty container collected from depot;14/02/24 12.00
MS002919;SHP0292;9;Customs Clearance;15/02/24;15/02/24 12.00;completed;Budi Santoso;Container accepted by terminal;17/02/24 12.00
MS002920;SHP0292;10;Delivered;17/02/24;19/02/24 00.00;Delayed;Rizky Kurniawan;Release documentation approved;19/02/24 00.00
MS002921;SHP0293;1;Cargo Ready;24/01/24;25/01/24 00.00;completed;Kevin Halim;Commercial invoice verified;26/01/24 00.00
MS002922;SHP0293;2;Booking Confirmed;27/01/24;27/01/24 08.00;Completed;Cindy Wijaya;Shipment delivered successfully;29/01/24 08.00
MS002923;SHP0293;3;Empty Container Pickup;29/01/24;29/01/24 12.00;Delayed;Budi Santoso;Vessel left origin port;09/02/24 12.00
MS002924;SHP0293;4;Cargo Loading;31/01/24;02/02/24 00.00;Delayed;Daniel Hartono;Port arrival confirmed;04/02/24 00.00
MS002925;SHP0293;5;Gate In;04/02/24;07/02/24 00.00;Delayed;Nadia Prasetyo;Carrier schedule update received;09/02/24 00.00
MS002926;SHP0293;6;Documentation Complete;05/02/24;07/02/24 12.00;Delayed;Rizky Kurniawan;Documentation approved;10/02/24 12.00
MS002927;SHP0293;7;Vessel Departure;07/02/24;08/02/24 00.00;Completed;Maya Putri;Loading preparation finalized;08/02/24 00.00
MS002928;SHP0293;8;Port Arrival;09/02/24;09/02/24 04.00;Completed;Sarah Amelia;Shipment released by customs;10/02/24 04.00
MS002929;SHP0293;9;Customs Clearance;11/02/24;11/02/24 12.00;Delayed;Kevin Halim;Gate transaction completed;11/02/24 12.00
MS002930;SHP0293;10;Delivered;15/02/24;15/02/24 00.00;Completed;Fajar Nugroho;Cargo inspection completed;18/02/24 00.00
MS002931;SHP0294;1;Cargo Ready;03/01/24;03/01/24 04.00;Completed;Indah Permata;Empty container collected from depot;05/01/24 04.00
MS002932;SHP0294;2;Booking Confirmed;07/01/24;07/01/24 00.00;Completed;Budi Santoso;Vessel departed as scheduled;07/01/24 00.00
MS002933;SHP0294;3;Empty Container Pickup;08/01/24;08/01/24 12.00;Delayed;Andi Pratama;Cargo cleared for release;10/01/24 12.00
MS002934;SHP0294;4;Cargo Loading;10/01/24;10/01/24 12.00;Completed;Kevin Halim;Cargo handed over to consignee;13/01/24 12.00
MS002935;SHP0294;5;Gate In;14/01/24;14/01/24 12.00;Delayed;Kevin Halim;Documentation review completed;28/01/24 12.00
MS002936;SHP0294;6;Documentation Complete;16/01/24;16/01/24 12.00;Completed;;Shipment closed successfully;16/01/24 12.00
MS002937;SHP0294;7;Vessel Departure;18/01/24;18/01/24 12.00;Completed;Nadia Prasetyo;Cargo available for dispatch;20/01/24 12.00
MS002938;SHP0294;8;Port Arrival;19/01/24;20/01/24 00.00;Completed;Cindy Wijaya;Documentation approved;22/01/24 00.00
MS002939;SHP0294;9;Customs Clearance;20/01/24;20/01/24 04.00;COMPLETED;Indah Permata;Cargo handed over to consignee;23/01/24 04.00
MS002940;SHP0294;10;Delivered;23/01/24;23/01/24 12.00;Completed;Andi Pratama;Release order issued;23/01/24 12.00
MS002941;SHP0295;1;Cargo Ready;04/04/24;04/04/24 08.00;Completed;;ETD achieved successfully;04/04/24 08.00
MS002942;SHP0295;2;Booking Confirmed;08/04/24;10/04/24 00.00;Delayed;Sarah Amelia;Empty container collected from depot;11/04/24 00.00
MS002943;SHP0295;3;Empty Container Pickup;12/04/24;12/04/24 04.00;Completed;Cindy Wijaya;Container available for pickup;14/04/24 04.00
MS002944;SHP0295;4;Cargo Loading;14/04/24;14/04/24 00.00;Completed;Sarah Amelia;Container sealed after loading;17/04/24 00.00
MS002945;SHP0295;5;Gate In;17/04/24;20/04/24 00.00;Delayed;Fajar Nugroho;;23/04/24 00.00
MS002946;SHP0295;6;Documentation Complete;20/04/24;21/04/24 00.00;Completed;Michael Gunawan;Customs declaration completed;23/04/24 00.00
MS002947;SHP0295;7;Vessel Departure;22/04/24;22/04/24 12.00;Delayed;Andi Pratama;Carrier confirmed vessel departure;24/04/24 12.00
MS002948;SHP0295;8;Port Arrival;26/04/24;26/04/24 00.00;Completed;Fajar Nugroho;Customer acknowledged receipt;28/04/24 00.00
MS002949;SHP0295;9;Customs Clearance;30/04/24;30/04/24 02.00;Delayed;;Pickup completed successfully;03/05/24 02.00
MS002950;SHP0295;10;Delivered;03/05/24;03/05/24 00.00;Completed;;Booking reference received;03/05/24 00.00
MS002951;SHP0296;1;Cargo Ready;16/01/24;16/01/24 00.00;Completed;Andi Pratama;Container received for loading;18/01/24 00.00
MS002952;SHP0296;2;Booking Confirmed;19/01/24;19/01/24 12.00;Completed;Dimas Saputra;Shipment released by customs;20/01/24 12.00
MS002953;SHP0296;3;Empty Container Pickup;22/01/24;22/01/24 02.00;Completed;Indah Permata;Terminal received container;24/01/24 02.00
MS002954;SHP0296;4;Cargo Loading;23/01/24;23/01/24 08.00;Delayed;Budi Santoso;Release order issued;24/01/24 08.00
MS002955;SHP0296;5;Gate In;27/01/24;27/01/24 00.00;Completed;Cindy Wijaya;Vessel allocation confirmed;06/02/24 00.00
MS002956;SHP0296;6;Documentation Complete;30/01/24;30/01/24 12.00;Delayed;Nadia Prasetyo;Carrier confirmed revised ETA;31/01/24 12.00
MS002957;SHP0296;7;Vessel Departure;03/02/24;03/02/24 04.00;Delayed;Sarah Amelia;Cargo handed over to consignee;04/02/24 04.00
MS002958;SHP0296;8;Port Arrival;06/02/24;06/02/24 12.00;Completed;Dimas Saputra;Terminal discharge completed;07/02/24 12.00
MS002959;SHP0296;9;Customs Clearance;07/02/24;07/02/24 12.00;Completed;Sarah Amelia;Berthing completed;10/02/24 12.00
MS002960;SHP0296;10;Delivered;08/02/24;08/02/24 02.00;Completed;Andi Pratama;Shipment delivered successfully;10/02/24 02.00
MS002961;SHP0297;1;Cargo Ready;17/02/24;17/02/24 12.00;Completed;Cindy Wijaya;Shipment arrived as planned;19/02/24 12.00
MS002962;SHP0297;2;Booking Confirmed;21/02/24;21/02/24 00.00;Completed;Budi Santoso;Gate transaction completed;22/02/24 00.00
MS002963;SHP0297;3;Empty Container Pickup;25/02/24;25/02/24 04.00;Completed;Andi Pratama;Container dispatched to customer site;26/02/24 04.00
MS002964;SHP0297;4;Cargo Loading;28/02/24;28/02/24 04.00;Delayed;Andi Pratama;Vessel departed as scheduled;01/03/24 04.00
MS002965;SHP0297;5;Gate In;29/02/24;29/02/24 00.00;Completed;Maya Putri;Container sealed after loading;01/03/24 00.00
MS002966;SHP0297;6;Documentation Complete;02/03/24;12/03/24 00.00;Delayed;Nadia Prasetyo;Booking reference received;02/03/24 12.00
MS002967;SHP0297;7;Vessel Departure;04/03/24;04/03/24 08.00;Completed;Kevin Halim;Carrier allocated vessel space;07/03/24 08.00
MS002968;SHP0297;8;Port Arrival;06/03/24;08/03/24 00.00;Delayed;Dimas Saputra;Shipment arrived as planned;10/03/24 00.00
MS002969;SHP0297;9;Customs Clearance;10/03/24;12/03/24 00.00;Delayed;Budi Santoso;AFR submitted successfully;14/03/24 00.00
MS002970;SHP0297;10;Delivered;12/03/24;14/03/24 00.00;DELAYED;Andi Pratama;Booking confirmed by carrier;16/03/24 00.00
MS002971;SHP0298;1;Cargo Ready;12/04/24;13/04/24 00.00;Completed;Cindy Wijaya;Carrier booking validated;16/04/24 00.00
MS002972;SHP0298;2;Booking Confirmed;15/04/24;15/04/24 12.00;Delayed;Rafi Kurnia;Departure confirmation received;17/04/24 12.00
MS002973;SHP0298;3;Empty Container Pickup;19/04/24;19/04/24 02.00;Completed;Nadia Prasetyo;Shipment arrived as planned;21/04/24 02.00
MS002974;SHP0298;4;Cargo Loading;20/04/24;20/04/24 02.00;Completed;Fajar Nugroho;Packing list confirmed;20/04/24 02.00
MS002975;SHP0298;5;Gate In;21/04/24;21/04/24 00.00;Completed;Maya Putri;Awaiting container allocation;24/04/24 00.00
MS002976;SHP0298;6;Documentation Complete;25/04/24;28/04/24 00.00;Delayed;Rizky Kurniawan;Export filing accepted;11/05/24 00.00
MS002977;SHP0298;7;Vessel Departure;27/04/24;28/04/24 00.00;Completed;Cindy Wijaya;Customs declaration completed;29/04/24 00.00
MS002978;SHP0298;8;Port Arrival;28/04/24;29/04/24 00.00;Completed;Indah Permata;Container gated in successfully;29/04/24 00.00
MS002979;SHP0298;9;Customs Clearance;29/04/24;29/04/24 12.00;Completed;Nadia Prasetyo;Cargo handed over to consignee;30/04/24 12.00
MS002980;SHP0298;10;Delivered;02/05/24;02/05/24 12.00;Delayed;Andi Pratama;Depot release completed;05/05/24 12.00
MS002981;SHP0299;1;Cargo Ready;12/01/24;12/01/24 02.00;Delayed;Kevin Halim; Container accepted by terminal;12/01/24 02.00
MS002982;SHP0299;2;Booking Confirmed;13/01/24;15/01/24 00.00;Delayed;Maya Putri;Container ready for gate in;16/01/24 00.00
MS002983;SHP0299;3;Empty Container Pickup;16/01/24;16/01/24 12.00;Delayed;Dimas Saputra;Loading preparation finalized;17/01/24 12.00
MS002984;SHP0299;4;Cargo Loading;20/01/24;20/01/24 00.00;Completed;Cindy Wijaya;Carrier confirmed vessel departure;22/01/24 00.00
MS002985;SHP0299;5;Gate In;24/01/24;24/01/24 12.00;Delayed;Indah Permata;Clearance approval received;27/01/24 12.00
MS002986;SHP0299;6;Documentation Complete;28/01/24;28/01/24 08.00;delayed;Andi Pratama;Port entry confirmed;28/01/24 08.00
MS002987;SHP0299;7;Vessel Departure;31/01/24;31/01/24 00.00;Completed;Fajar Nugroho;Shipment closed successfully;31/01/24 00.00
MS002988;SHP0299;8;Port Arrival;04/02/24;04/02/24 12.00;Delayed;Andi Pratama;Docs submitted;18/02/24 12.00
MS002989;SHP0299;9;Customs Clearance;08/02/24;08/02/24 12.00;Delayed;Daniel Hartono;Container entered terminal yard;10/02/24 12.00
MS002990;SHP0299;10;Delivered;10/02/24;10/02/24 04.00;Completed;Cindy Wijaya;Carrier accepted booking request;10/02/24 04.00
MS002991;SHP0300;1;Cargo Ready;05/06/24;05/06/24 02.00;Delayed;Dimas Saputra;Cargo ready for pickup;06/06/24 02.00
MS002992;SHP0300;2;Booking Confirmed;07/06/24;07/06/24 00.00;Completed;Cindy Wijaya;Carrrier confirmed departure;10/06/24 00.00
MS002993;SHP0300;3;Empty Container Pickup;11/06/24;11/06/24 00.00;Completed;Dimas Saputra;Clearance approval received;21/06/24 00.00
MS002994;SHP0300;4;Cargo Loading;13/06/24;13/06/24 02.00;Delayed;Dimas Saputra;Awaiting container allocation;14/06/24 02.00
MS002995;SHP0300;5;Gate In;17/06/24;17/06/24 12.00;Completed;Fajar Nugroho;Final milestone completed;20/06/24 12.00
MS002996;SHP0300;6;Documentation Complete;20/06/24;20/06/24 12.00;Completed;Kevin Halim;Arrival notice received;23/06/24 12.00
MS002997;SHP0300;7;Vessel Departure;23/06/24;23/06/24 02.00;Completed;Maya Putri;Loading operation finalized;26/06/24 02.00
MS002998;SHP0300;8;Port Arrival;24/06/24;26/06/24 00.00;Delayed;Rizky Kurniawan;Delivery appointment confirmed;28/06/24 00.00
MS002999;SHP0300;9;Customs Clearance;25/06/24;26/06/24 12.00;Delayed;Rizky Kurniawan;Vessel allocation confirmed;09/07/24 12.00
MS003000;SHP0300;10;Delivered;28/06/24;28/06/24 08.00;Delayed;Dimas Saputra;Export filing accepted;01/07/24 08.00
MS003001;SHP0301;1;Cargo Ready;10/01/24;10/01/24 00.00;Completed;Michael Gunawan;Shipment status updated to in transit;10/01/24 00.00
MS003002;SHP0301;2;Booking Confirmed;11/01/24;11/01/24 00.00;Completed;Budi Santoso;Customs clearance completed;13/01/24 00.00
MS003003;SHP0301;3;Empty Container Pickup;14/01/24;16/01/24 00.00;Delayed;Maya Putri;Shipment tracking updated;19/01/24 00.00
MS003004;SHP0301;4;Cargo Loading;16/01/24;16/01/24 00.00;Completed;Budi Santoso;Container gated in successfully;19/01/24 00.00
MS003005;SHP0301;5;Gate In;19/01/24;19/01/24 12.00;Delayed;Kevin Halim;Transit milestone verified;21/01/24 12.00
MS003006;SHP0301;6;Documentation Complete;23/01/24;23/01/24 12.00;Completed;Indah Permata;Port arrival confirmed;24/01/24 12.00
MS003007;SHP0301;7;Vessel Departure;24/01/24;24/01/24 04.00;Completed;Daniel Hartono;Container allocation confirmed;26/01/24 04.00
MS003008;SHP0301;8;Port Arrival;26/01/24;28/01/24 00.00;Delayed;Fajar Nugroho;Commercial invoice verified;29/01/24 00.00
MS003009;SHP0301;9;Customs Clearance;28/01/24;28/01/24 00.00;Completed;Andi Pratama;Sailing schedule confirmed;29/01/24 00.00
